VideoNo,PositivePercent,NegativePercent,AngerPercent,AnticipationPercent,DisgustPercent,FearPercent,JoyPercent,SadnessPercent,SurprisePercent,TrustPercent,VideoFrame
101,0.07860262,0.152838428,0.104803493,0.028384279,0.100436681,0.100436681,0.030567686,0.052401747,0.024017467,0.056768559,7
102,0.119840213,0.209054594,0.033288948,0.071904128,0.026631158,0.174434088,0.041278296,0.097203728,0.035952064,0.071904128,2
103,0.091743119,0.132110092,0.060550459,0.034862385,0.033027523,0.073394495,0.040366972,0.058715596,0.03853211,0.058715596,3
104,0.111111111,0.09315376,0.046015713,0.047138047,0.021324355,0.046015713,0.031425365,0.044893378,0.022446689,0.057239057,3
105,0.071656051,0.095541401,0.049363057,0.025477707,0.031847134,0.073248408,0.022292994,0.052547771,0.015923567,0.042993631,3
106,0.120064464,0.138597905,0.052377115,0.043513296,0.055600322,0.070104754,0.025785657,0.060435133,0.018533441,0.066075745,5
107,0.066558442,0.116883117,0.021103896,0.037337662,0.022727273,0.066558442,0.034090909,0.056818182,0.022727273,0.040584416,3
110,0.104950495,0.152475248,0.081188119,0.065346535,0.071287129,0.118811881,0.031683168,0.089108911,0.037623762,0.059405941,3
112,0.071794872,0.128205128,0.043589744,0.023076923,0.030769231,0.11025641,0.017948718,0.079487179,0.01025641,0.038461538,2
114,0.072265625,0.1796875,0.08203125,0.044921875,0.068359375,0.138671875,0.013671875,0.140625,0.03125,0.03515625,2
116,0.060344828,0.114942529,0.025862069,0.031609195,0.022988506,0.100574713,0.037356322,0.037356322,0.022988506,0.034482759,2
117,0.096989967,0.120401338,0.053511706,0.043478261,0.036789298,0.093645485,0.035117057,0.081939799,0.028428094,0.033444816,2
118,0.055096419,0.082644628,0.027548209,0.019283747,0.024793388,0.060606061,0.013774105,0.046831956,0.002754821,0.027548209,2
119,0.103930131,0.122270742,0.058806405,0.051528384,0.040756914,0.070742358,0.043085881,0.045414847,0.039592431,0.078311499,2
120,0.092307692,0.1,0.060576923,0.038461538,0.052884615,0.05625,0.030769231,0.052884615,0.021634615,0.053365385,7
121,0.081723626,0.091381872,0.045319465,0.031946508,0.055720654,0.040118871,0.023031204,0.040118871,0.020059435,0.048291233,7
122,0.126744835,0.135678392,0.078726968,0.054438861,0.074539363,0.063930765,0.045784478,0.058068118,0.02372976,0.083752094,7
123,0.10459588,0.10459588,0.049128368,0.047543582,0.034865293,0.055467512,0.031695721,0.058637084,0.026941363,0.069730586,2
124,0.063781321,0.16856492,0.072892938,0.036446469,0.075170843,0.134396355,0.020501139,0.109339408,0.027334852,0.047835991,2
125,0.075324675,0.080519481,0.023376623,0.036363636,0.015584416,0.025974026,0.020779221,0.028571429,0.012987013,0.049350649,2
126,0.090534979,0.106995885,0.072016461,0.041152263,0.065843621,0.072016461,0.024691358,0.076131687,0.030864198,0.03909465,8
127,0.056795132,0.123732252,0.060851927,0.024340771,0.044624746,0.099391481,0.024340771,0.060851927,0.034482759,0.042596349,3
128,0.113131313,0.129292929,0.056565657,0.036363636,0.062626263,0.072727273,0.032323232,0.058585859,0.018181818,0.046464646,3
129,0.097560976,0.18699187,0.067073171,0.077235772,0.06504065,0.12804878,0.030487805,0.093495935,0.040650407,0.054878049,2
130,0.064516129,0.141129032,0.032258065,0.052419355,0.032258065,0.048387097,0.048387097,0.036290323,0.024193548,0.036290323,2
133,0.080229226,0.157593123,0.054441261,0.034383954,0.031518625,0.131805158,0.028653295,0.063037249,0.031518625,0.040114613,2
134,0.124378109,0.124378109,0.024875622,0.07960199,0.024875622,0.089552239,0.039800995,0.109452736,0.034825871,0.07960199,8
135,0.052060738,0.186550976,0.047722343,0.026030369,0.071583514,0.175704989,0.00867679,0.121475054,0.010845987,0.030368764,2
136,0.142857143,0.090225564,0,0.022556391,0.015037594,0.015037594,0.097744361,0.07518797,0.007518797,0.067669173,4
137,0.080246914,0.187242798,0.125514403,0.051440329,0.12345679,0.074074074,0.010288066,0.067901235,0.018518519,0.047325103,3
138,0.105834464,0.130257802,0.048846676,0.052917232,0.044776119,0.073270014,0.036635007,0.063772049,0.02578019,0.080054274,2
139,0.116814159,0.162831858,0.060176991,0.049557522,0.040707965,0.123893805,0.026548673,0.097345133,0.007079646,0.051327434,2
140,0.064873418,0.140822785,0.063291139,0.05221519,0.037974684,0.106012658,0.023734177,0.091772152,0.026898734,0.033227848,2
141,0.082616179,0.078313253,0.04130809,0.033562823,0.036144578,0.053356282,0.027538726,0.049913941,0.018072289,0.055938038,4
143,0.093264249,0.123612139,0.037009623,0.041450777,0.027387121,0.111028868,0.038490007,0.091783864,0.017764619,0.054034049,2
147,0.051959891,0.11668186,0.04284412,0.02461258,0.04284412,0.051959891,0.017319964,0.055606199,0.022789426,0.041932543,2
149,0.107290234,0.105914718,0.035763411,0.027510316,0.064649243,0.027510316,0.030261348,0.019257221,0.011004127,0.057771664,3
151,0.047169811,0.072327044,0.031446541,0.028301887,0.025157233,0.044025157,0.022012579,0.047169811,0.012578616,0.047169811,2
152,0.064891847,0.058236273,0.038269551,0.019966722,0.02828619,0.029950083,0.013311148,0.016638935,0.006655574,0.021630616,8
157,0.117647059,0.149509804,0.056372549,0.051470588,0.06127451,0.093137255,0.039215686,0.112745098,0.031862745,0.06372549,2
159,0.104545455,0.124545455,0.061818182,0.025454545,0.064545455,0.069090909,0.040909091,0.059090909,0.04,0.090909091,8
163,0.058282209,0.122699387,0.061349693,0.015337423,0.036809816,0.04601227,0.015337423,0.033742331,0.027607362,0.030674847,3
165,0.065162907,0.155388471,0.055137845,0.030075188,0.122807018,0.040100251,0.025062657,0.042606516,0.010025063,0.025062657,3
166,0.075822604,0.188841202,0.058655222,0.052932761,0.034334764,0.158798283,0.024320458,0.13018598,0.025751073,0.040057225,2
177,0.122317597,0.14806867,0.094420601,0.066523605,0.081545064,0.081545064,0.027896996,0.081545064,0.025751073,0.066523605,3
179,0.088888889,0.088888889,0.048148148,0.1,0.040740741,0.037037037,0.022222222,0.062962963,0.02962963,0.055555556,3
180,0.079178886,0.173020528,0.023460411,0.046920821,0.014662757,0.149560117,0.035190616,0.126099707,0.029325513,0.058651026,2
182,0.080106809,0.181575434,0.112149533,0.037383178,0.11481976,0.128170895,0.029372497,0.113484646,0.021361816,0.050734312,7
185,0.096774194,0.099462366,0.037634409,0.044354839,0.017473118,0.053763441,0.014784946,0.055107527,0.017473118,0.068548387,4
187,0.081081081,0.135135135,0.063063063,0.024024024,0.042042042,0.054054054,0.024024024,0.042042042,0.009009009,0.042042042,2
191,0.096354167,0.09375,0.046875,0.036458333,0.057291667,0.0625,0.0390625,0.052083333,0.015625,0.072916667,2
198,0.085365854,0.067073171,0.024390244,0.036585366,0.036585366,0.024390244,0.054878049,0.036585366,0.048780488,0.042682927,5
202,0.08356546,0.147632312,0.04735376,0.04735376,0.044568245,0.105849582,0.013927577,0.105849582,0.016713092,0.058495822,3
203,0.058333333,0.158333333,0.066666667,0.0375,0.045833333,0.108333333,0.020833333,0.108333333,0.045833333,0.0375,2
208,0.105421687,0.15060241,0.048192771,0.045180723,0.030120482,0.138554217,0.042168675,0.108433735,0.021084337,0.051204819,2
220,0.112426036,0.149901381,0.053254438,0.049309665,0.035502959,0.120315582,0.043392505,0.09270217,0.023668639,0.078895464,3
223,0.093971631,0.118794326,0.044326241,0.040780142,0.074468085,0.042553191,0.024822695,0.044326241,0.023049645,0.060283688,3
224,0.06405694,0.117437722,0.035587189,0.024911032,0.024911032,0.085409253,0.017793594,0.060498221,0.017793594,0.03202847,2
226,0.11686747,0.145783133,0.04939759,0.056626506,0.037349398,0.103614458,0.022891566,0.093975904,0.028915663,0.06746988,2
234,0.066666667,0.05,0.033333333,0.016666667,0.025,0.033333333,0.008333333,0.016666667,0.008333333,0.033333333,7
252,0.106145251,0.072625698,0.027932961,0.083798883,0.022346369,0.039106145,0.05027933,0.027932961,0.022346369,0.061452514,8
272,0.092544987,0.084832905,0.041131105,0.023136247,0.061696658,0.041131105,0.023136247,0.043701799,0.015424165,0.051413882,3
273,0.078740157,0.187007874,0.068897638,0.047244094,0.059055118,0.124015748,0.023622047,0.124015748,0.00984252,0.06496063,2
285,0.12392638,0.121472393,0.068711656,0.058895706,0.057668712,0.058895706,0.042944785,0.056441718,0.025766871,0.07607362,4
300,0.13671875,0.06640625,0.0390625,0.0234375,0.03515625,0.0234375,0.03515625,0.0390625,0.0234375,0.09765625,4
344,0.072847682,0.105960265,0.039735099,0.046357616,0.033112583,0.059602649,0.026490066,0.066225166,0.033112583,0.086092715,2
364,0.074917492,0.074257426,0.024752475,0.031023102,0.027392739,0.064356436,0.027392739,0.035313531,0.024092409,0.040264026,3
